net,length_um
g_row\[0\].g_col\[1\].pe/net1166,115.57µm
g_row\[0\].g_col\[0\].pe/_0607_,115.295µm
net3180,115.16µm
g_row\[0\].g_col\[0\].pe/net873,115.14µm
g_row\[0\].g_col\[1\].pe/net937,114.78µm
a_wire\[1\]\[10\],114.725µm
net1217,114.5µm
net2413,114.44µm
g_row\[1\].g_col\[1\].pe/net1048,114.38µm
net2804,114.34µm
g_row\[0\].g_col\[1\].pe/net2134,114.29µm
g_row\[1\].g_col\[0\].pe/net911,114.2µm
net3113,113.97µm
b_inputs_flat[19],113.92µm
net1364,113.9µm
g_row\[0\].g_col\[0\].pe/r2_mantissa\[3\],113.78µm
net1241,113.77µm
net1092,113.745µm
net3133,113.72µm
g_row\[1\].g_col\[1\].pe/net1036,113.7µm
g_row\[1\].g_col\[1\].pe/net1054,113.58µm
a_wire\[0\]\[4\],113.54µm
g_row\[0\].g_col\[0\].pe/net971,113.535µm
net1516,113.48µm
net3242,113.48µm
net2454,113.365µm
g_row\[0\].g_col\[0\].pe/_1333_,113.31µm
net1436,113.28µm
g_row\[0\].g_col\[0\].pe/net1175,113.04µm
b_inputs_flat[22],113µm
g_row\[1\].g_col\[0\].pe/net1059,112.96µm
results_flat[25],112.93µm
b_inputs_flat[21],112.82µm
g_row\[1\].g_col\[1\].pe/net878,112.82µm
net3346,112.72µm
b_inputs_flat[31],112.7µm
net3322,112.61µm
net3417,112.56µm
net3557,112.38µm
g_row\[0\].g_col\[1\].pe/net1163,112.24µm
g_row\[0\].g_col\[1\].pe/net818,112.23µm
net2556,112.18µm
g_row\[1\].g_col\[1\].pe/net1043,111.97µm
g_row\[1\].g_col\[0\].pe/net1083,111.74µm
g_row\[0\].g_col\[1\].pe/net1149,111.74µm
net3281,111.56µm
g_row\[0\].g_col\[0\].pe/r2_mantissa\[10\],111.52µm
g_row\[0\].g_col\[1\].pe/r4_acc\[12\],111.51µm
net3279,111.29µm
g_row\[1\].g_col\[1\].pe/_0644_,110.98µm
b_reg\[28\],110.9µm
net1483,110.84µm
g_row\[1\].g_col\[1\].pe/r2_mantissa\[5\],110.71µm
a_wire\[1\]\[8\],110.695µm
g_row\[1\].g_col\[1\].pe/net888,110.605µm
net2989,110.34µm
_071_,110.32µm
net1375,110.28µm
a_reg\[11\],110.27µm
net2666,110.21µm
g_row\[0\].g_col\[1\].pe/net1156,109.96µm
net3214,109.94µm
b_inputs_flat[30],109.82µm
a_wire\[3\]\[7\],109.82µm
net1440,109.64µm
net3170,109.6µm
clknet_4_13_0_clk,109.56µm
results_flat[30],109.45µm
g_row\[0\].g_col\[1\].pe/net1147,109.42µm
net2778,109.345µm
net3328,109.14µm
net3286,109.08µm
net2675,109.06µm
g_row\[0\].g_col\[0\].pe/_0680_,109.055µm
net1263,109.04µm
net3253,109.02µm
g_row\[0\].g_col\[1\].pe/net953,108.935µm
net2412,108.92µm
net1488,108.74µm
a_wire\[1\]\[2\],108.66µm
net2531,108.58µm
g_row\[1\].g_col\[1\].pe/net1045,108.56µm
net3254,108.56µm
net2582,108.42µm
net1443,108.26µm
b_inputs_flat[17],108.22µm
results_flat[18],108.19µm
net1575,107.96µm
net3229,107.92µm
net1086,107.8µm
b_reg\[5\],107.76µm
net3131,107.76µm
g_row\[0\].g_col\[1\].pe/_1057_,107.67µm
g_row\[1\].g_col\[1\].pe/_0840_,107.655µm
b_inputs_flat[24],107.64µm
a_inputs_flat[7],107.61µm
net1626,107.58µm
net1481,107.44µm
net1347,107.32µm
g_row\[1\].g_col\[1\].pe/net830,107.31µm
g_row\[1\].g_col\[1\].pe/net1001,107.28µm
clknet_4_6_0_clk,107.28µm
b_reg\[8\],107.25µm
g_row\[0\].g_col\[1\].pe/net952,107.25µm
g_row\[1\].g_col\[0\].pe/_0680_,107.18µm
net1406,107.06µm
net1208,106.96µm
g_row\[0\].g_col\[0\].pe/net871,106.9µm
net3576,106.78µm
net2476,106.74µm
net1465,106.62µm
net1441,106.54µm
g_row\[0\].g_col\[0\].pe/net2320,106.54µm
g_row\[0\].g_col\[0\].pe/r2_mantissa\[2\],106.44µm
g_row\[0\].g_col\[0\].pe/net1184,106.255µm
net2098,106.25µm
net2803,106.1µm
net3153,106.08µm
g_row\[0\].g_col\[1\].pe/net956,105.9µm
g_row\[0\].g_col\[1\].pe/net2992,105.86µm
net2436,105.765µm
g_row\[1\].g_col\[1\].pe/net1030,105.76µm
g_row\[1\].g_col\[0\].pe/_1052_,105.62µm
net3497,105.56µm
g_row\[0\].g_col\[0\].pe/_0200_,105.22µm
g_row\[1\].g_col\[1\].pe/net1037,105.12µm
net1480,105.12µm
g_row\[0\].g_col\[1\].pe/r2_mantissa\[9\],105.08µm
g_row\[0\].g_col\[1\].pe/net2196,104.945µm
g_row\[0\].g_col\[0\].pe/r3_prod_mant\[7\],104.9µm
g_row\[0\].g_col\[0\].pe/_0727_,104.84µm
g_row\[1\].g_col\[0\].pe/_0764_,104.84µm
g_row\[0\].g_col\[0\].pe/net1699,104.83µm
net1378,104.78µm
b_reg\[21\],104.72µm
g_row\[0\].g_col\[0\].pe/net1196,104.7µm
net1543,104.66µm
g_row\[0\].g_col\[1\].pe/net854,104.54µm
g_row\[0\].g_col\[0\].pe/net826,104.53µm
g_row\[1\].g_col\[0\].pe/net1114,104.495µm
net1087,104.28µm
g_row\[0\].g_col\[0\].pe/net1721,104.19µm
a_inputs_flat[0],104.08µm
net1544,104.08µm
g_row\[0\].g_col\[0\].pe/net2253,104.055µm
g_row\[0\].g_col\[0\].pe/r3_prod_mant\[13\],104µm
net1608,103.96µm
net3353,103.62µm
results_flat[20],103.57µm
g_row\[0\].g_col\[1\].pe/_1197_,103.48µm
net3240,103.39µm
net1514,103.33µm
g_row\[0\].g_col\[0\].pe/net1177,103.3µm
net3205,103.25µm
g_row\[1\].g_col\[1\].pe/_1037_,103.2µm
g_row\[1\].g_col\[0\].pe/net1076,103.08µm
a_inputs_flat[13],102.97µm
clknet_4_2_0_clk,102.96µm
g_row\[1\].g_col\[0\].pe/net905,102.895µm
net3376,102.86µm
net3219,102.84µm
b_inputs_flat[20],102.83µm
net2764,102.76µm
net3370,102.72µm
net2487,102.68µm
g_row\[0\].g_col\[0\].pe/_0229_,102.59µm
clknet_4_1_0_clk,102.51µm
b_inputs_flat[29],102.45µm
net3244,102.39µm
net1432,102.32µm
net2734,102.31µm
g_row\[1\].g_col\[0\].pe/net1270,102.22µm
a_inputs_flat[30],102.17µm
_126_,101.98µm
net1496,101.96µm
reset,101.91µm
net3293,101.84µm
g_row\[1\].g_col\[0\].pe/net1088,101.82µm
net2649,101.7µm
a_wire\[4\]\[10\],101.59µm
g_row\[1\].g_col\[1\].pe/_0634_,101.54µm
net1085,101.5µm
g_row\[0\].g_col\[1\].pe/net1165,101.5µm
net3562,101.48µm
_082_,101.44µm
results_flat[19],101.43µm
net1975,100.98µm
net2590,100.96µm
g_row\[0\].g_col\[1\].pe/net1977,100.88µm
net2410,100.82µm
net1099,100.78µm
net1637,100.73µm
g_row\[0\].g_col\[0\].pe/_1311_,100.625µm
net2692,100.39µm
a_wire\[1\]\[9\],100.33µm
g_row\[0\].g_col\[0\].pe/_0124_,100.32µm
a_inputs_flat[14],100.29µm
g_row\[0\].g_col\[0\].pe/net985,100.285µm
net1567,100.22µm
results_flat[29],100.21µm
net1371,100.14µm
g_row\[1\].g_col\[0\].pe/net823,100.12µm
a_inputs_flat[5],100.11µm
net2472,99.885µm
g_row\[0\].g_col\[0\].pe/net980,99.875µm
net3385,99.85µm
g_row\[1\].g_col\[1\].pe/net821,99.78µm
results_flat[24],99.69µm
net3140,99.68µm
net1461,99.46µm
g_row\[1\].g_col\[1\].pe/net1041,99.41µm
g_row\[0\].g_col\[1\].pe/net1125,99.28µm
b_reg\[2\],99.21µm
results_flat[9],99.12µm
g_row\[0\].g_col\[0\].pe/net1722,99.12µm
b_inputs_flat[23],99.09µm
g_row\[0\].g_col\[0\].pe/net992,98.875µm
g_row\[0\].g_col\[0\].pe/net1254,98.8µm
g_row\[0\].g_col\[0\].pe/net979,98.62µm
b_reg\[19\],98.56µm
net1248,98.56µm
a_inputs_flat[6],98.43µm
g_row\[0\].g_col\[1\].pe/r4_acc\[10\],98.375µm
net2087,98.36µm
net3522,98.34µm
net1210,98.26µm
g_row\[0\].g_col\[1\].pe/net1130,97.96µm
g_row\[0\].g_col\[1\].pe/net1168,97.94µm
g_row\[1\].g_col\[0\].pe/net915,97.805µm
net3335,97.7µm
g_row\[0\].g_col\[0\].pe/r3_prod_mant\[6\],97.49µm
net1501,97.46µm
g_row\[0\].g_col\[0\].pe/r3_prod_mant\[8\],97.42µm
g_row\[1\].g_col\[1\].pe/net1990,97.36µm
g_row\[1\].g_col\[0\].pe/net1101,97.11µm
net2735,97.08µm
net3541,97.08µm
g_row\[0\].g_col\[0\].pe/net973,97.02µm
g_row\[0\].g_col\[1\].pe/net1128,97µm
g_row\[0\].g_col\[0\].pe/net1194,96.9µm
net1370,96.81µm
g_row\[1\].g_col\[1\].pe/net1017,96.78µm
_103_,96.74µm
g_row\[0\].g_col\[0\].pe/r4_acc\[0\],96.72µm
clear_acc,96.69µm
g_row\[0\].g_col\[0\].pe/_1116_,96.48µm
_133_,96.4µm
g_row\[1\].g_col\[1\].pe/net1419,96.39µm
net2509,96.38µm
net2083,96.37µm
g_row\[0\].g_col\[0\].pe/net1190,96.29µm
b_inputs_flat[27],96.19µm
g_row\[1\].g_col\[1\].pe/_0236_,96.18µm
g_row\[0\].g_col\[1\].pe/_0647_,96.13µm
results_flat[60],96.07µm
g_row\[0\].g_col\[0\].pe/net1717,95.91µm
compute_enable,95.85µm
a_inputs_flat[23],95.71µm
g_row\[0\].g_col\[0\].pe/_0612_,95.64µm
net2568,95.605µm
net2513,95.46µm
net3430,95.42µm
g_row\[0\].g_col\[0\].pe/_0381_,95.39µm
net3365,95.38µm
b_reg\[9\],95.33µm
b_reg\[3\],95.29µm
g_row\[0\].g_col\[1\].pe/net936,95.24µm
net3543,94.96µm
a_inputs_flat[25],94.93µm
g_row\[0\].g_col\[0\].pe/net975,94.735µm
net2535,94.7µm
g_row\[1\].g_col\[0\].pe/net1768,94.68µm
net3274,94.62µm
net1324,94.52µm
g_row\[0\].g_col\[0\].pe/net984,94.45µm
net1526,94.44µm
g_row\[0\].g_col\[1\].pe/_0410_,94.34µm
a_wire\[1\]\[5\],94.32µm
net3484,94.32µm
net2422,94.3µm
g_row\[0\].g_col\[0\].pe/net2113,94.28µm
net3230,94.28µm
net1344,94.06µm
g_row\[1\].g_col\[1\].pe/net1047,94.04µm
net3409,94.04µm
a_inputs_flat[12],94.03µm
net3144,94.03µm
a_inputs_flat[24],93.73µm
g_row\[1\].g_col\[0\].pe/net1105,93.575µm
net1247,93.56µm
b_wire\[2\]\[10\],93.55µm
g_row\[0\].g_col\[1\].pe/net2182,93.5µm
g_row\[0\].g_col\[1\].pe/_0637_,93.44µm
g_row\[1\].g_col\[0\].pe/net1760,93.39µm
g_row\[1\].g_col\[0\].pe/net1420,93.38µm
g_row\[0\].g_col\[0\].pe/net1715,93.38µm
_109_,93.28µm
net3308,93.28µm
g_row\[1\].g_col\[1\].pe/_1040_,93.18µm
g_row\[1\].g_col\[0\].pe/net1115,93.18µm
net2783,93.08µm
g_row\[1\].g_col\[0\].pe/net909,93.035µm
g_row\[0\].g_col\[1\].pe/net1143,93.015µm
g_row\[0\].g_col\[0\].pe/net1230,92.98µm
g_row\[1\].g_col\[0\].pe/_0000_,92.96µm
net3222,92.85µm
a_wire\[1\]\[14\],92.78µm
g_row\[0\].g_col\[0\].pe/_0163_,92.74µm
g_row\[0\].g_col\[1\].pe/net2967,92.62µm
net3546,92.4µm
net1367,92.38µm
g_row\[0\].g_col\[0\].pe/_0376_,92.3µm
g_row\[0\].g_col\[1\].pe/net1121,92.285µm
g_row\[0\].g_col\[0\].pe/_0387_,92.28µm
net2782,92.26µm
net2452,92.22µm
g_row\[1\].g_col\[1\].pe/_0098_,92.09µm
g_row\[1\].g_col\[0\].pe/_0644_,92.075µm
a_inputs_flat[3],91.99µm
g_row\[1\].g_col\[1\].pe/net1020,91.86µm
net2494,91.76µm
g_row\[0\].g_col\[0\].pe/net1197,91.66µm
_081_,91.62µm
net1416,91.6µm
a_inputs_flat[26],91.57µm
net3377,91.5µm
g_row\[1\].g_col\[0\].pe/_0694_,91.47µm
g_row\[1\].g_col\[1\].pe/net890,91.445µm
a_inputs_flat[10],91.41µm
_106_,91.4µm
g_row\[0\].g_col\[0\].pe/net2307,91.38µm
g_row\[0\].g_col\[0\].pe/_0634_,91.36µm
