net,length_um
g_row\[1\].g_col\[1\].pe/_0726_,13.23µm
g_row\[0\].g_col\[0\].pe/_0620_,13.22µm
g_row\[1\].g_col\[0\].pe/_1004_,13.22µm
g_row\[1\].g_col\[0\].pe/_1175_,13.22µm
g_row\[1\].g_col\[1\].pe/_0011_,13.22µm
g_row\[0\].g_col\[0\].pe/net2950,13.22µm
g_row\[0\].g_col\[0\].pe/_0812_,13.21µm
g_row\[1\].g_col\[1\].pe/_1279_,13.21µm
g_row\[0\].g_col\[0\].pe/_0885_,13.18µm
g_row\[0\].g_col\[0\].pe/_0518_,13.165µm
g_row\[0\].g_col\[0\].pe/_0563_,13.16µm
g_row\[0\].g_col\[0\].pe/_1013_,13.16µm
g_row\[1\].g_col\[1\].pe/_0919_,13.16µm
g_row\[1\].g_col\[1\].pe/_1301_,13.16µm
g_row\[0\].g_col\[1\].pe/_0281_,13.14µm
g_row\[0\].g_col\[1\].pe/_0286_,13.14µm
g_row\[1\].g_col\[1\].pe/_1124_,13.14µm
net2679,13.14µm
g_row\[1\].g_col\[0\].pe/net1858,13.135µm
g_row\[1\].g_col\[1\].pe/_0737_,13.12µm
g_row\[1\].g_col\[1\].pe/_0821_,13.12µm
net3176,13.12µm
g_row\[0\].g_col\[1\].pe/_0645_,13.1µm
g_row\[1\].g_col\[0\].pe/_0055_,13.1µm
g_row\[1\].g_col\[0\].pe/_0238_,13.1µm
g_row\[1\].g_col\[1\].pe/_0772_,13.1µm
g_row\[1\].g_col\[1\].pe/_0995_,13.1µm
g_row\[1\].g_col\[1\].pe/_1077_,13.1µm
g_row\[0\].g_col\[0\].pe/_0514_,13.08µm
g_row\[0\].g_col\[1\].pe/_1160_,13.08µm
g_row\[1\].g_col\[1\].pe/_0562_,13.08µm
net3264,13.08µm
g_row\[0\].g_col\[0\].pe/_1020_,13.06µm
g_row\[1\].g_col\[0\].pe/_0285_,13.06µm
g_row\[0\].g_col\[0\].pe/_0958_,13.04µm
g_row\[0\].g_col\[0\].pe/_1088_,13.04µm
g_row\[0\].g_col\[1\].pe/_0872_,13.04µm
g_row\[1\].g_col\[1\].pe/_0032_,13.04µm
g_row\[1\].g_col\[1\].pe/_1163_,13.04µm
net3161,13.04µm
g_row\[0\].g_col\[1\].pe/_0600_,13.03µm
g_row\[0\].g_col\[0\].pe/_1014_,13.02µm
g_row\[0\].g_col\[0\].pe/_1261_,13.02µm
g_row\[1\].g_col\[1\].pe/_0481_,13.02µm
g_row\[1\].g_col\[1\].pe/_1224_,13.02µm
g_row\[1\].g_col\[1\].pe/_1266_,13.02µm
net2775,13.02µm
g_row\[1\].g_col\[0\].pe/_0050_,13µm
g_row\[1\].g_col\[1\].pe/_0330_,13µm
net1449,13µm
g_row\[0\].g_col\[1\].pe/net2037,13µm
g_row\[0\].g_col\[0\].pe/_0919_,12.98µm
g_row\[0\].g_col\[1\].pe/_0576_,12.98µm
g_row\[1\].g_col\[1\].pe/_1274_,12.98µm
g_row\[1\].g_col\[1\].pe/net1673,12.98µm
g_row\[0\].g_col\[1\].pe/_0995_,12.97µm
a_reg\[21\],12.96µm
g_row\[0\].g_col\[0\].pe/_0489_,12.96µm
g_row\[0\].g_col\[0\].pe/_0665_,12.96µm
g_row\[1\].g_col\[0\].pe/_0947_,12.96µm
g_row\[1\].g_col\[0\].pe/_1162_,12.96µm
g_row\[1\].g_col\[1\].pe/_1102_,12.96µm
g_row\[1\].g_col\[0\].pe/net2071,12.96µm
g_row\[1\].g_col\[0\].pe/_1279_,12.955µm
g_row\[1\].g_col\[0\].pe/_0312_,12.94µm
g_row\[1\].g_col\[1\].pe/_0452_,12.94µm
g_row\[1\].g_col\[1\].pe/_0582_,12.94µm
g_row\[1\].g_col\[1\].pe/net1713,12.94µm
g_row\[0\].g_col\[0\].pe/_0793_,12.93µm
g_row\[0\].g_col\[0\].pe/_0212_,12.92µm
g_row\[0\].g_col\[1\].pe/_0235_,12.92µm
g_row\[0\].g_col\[1\].pe/_0932_,12.92µm
g_row\[1\].g_col\[0\].pe/_0245_,12.92µm
g_row\[1\].g_col\[1\].pe/r3_prod_mant\[2\],12.92µm
g_row\[0\].g_col\[1\].pe/_0416_,12.9µm
g_row\[1\].g_col\[1\].pe/_0652_,12.9µm
g_row\[1\].g_col\[1\].pe/net1779,12.885µm
g_row\[0\].g_col\[1\].pe/_0207_,12.88µm
g_row\[1\].g_col\[1\].pe/_0292_,12.88µm
g_row\[1\].g_col\[1\].pe/_0761_,12.88µm
g_row\[1\].g_col\[1\].pe/_1299_,12.88µm
net1632,12.88µm
g_row\[1\].g_col\[1\].pe/net1979,12.88µm
g_row\[0\].g_col\[0\].pe/net2943,12.88µm
g_row\[0\].g_col\[0\].pe/_0962_,12.87µm
g_row\[0\].g_col\[1\].pe/_1189_,12.86µm
g_row\[0\].g_col\[0\].pe/net2266,12.86µm
net1394,12.84µm
g_row\[0\].g_col\[0\].pe/_1104_,12.84µm
g_row\[1\].g_col\[0\].pe/_0859_,12.84µm
g_row\[0\].g_col\[1\].pe/net2382,12.84µm
g_row\[0\].g_col\[1\].pe/_1211_,12.8µm
g_row\[1\].g_col\[1\].pe/_1247_,12.8µm
g_row\[1\].g_col\[0\].pe/_0251_,12.79µm
g_row\[0\].g_col\[0\].pe/_1085_,12.78µm
g_row\[0\].g_col\[1\].pe/_0911_,12.78µm
g_row\[1\].g_col\[0\].pe/_0142_,12.76µm
g_row\[1\].g_col\[1\].pe/net2262,12.76µm
g_row\[1\].g_col\[0\].pe/net2829,12.76µm
net3135,12.76µm
clknet_leaf_66_clk,12.74µm
g_row\[1\].g_col\[0\].pe/_1232_,12.74µm
g_row\[1\].g_col\[1\].pe/_0567_,12.74µm
g_row\[1\].g_col\[0\].pe/net2045,12.74µm
net3196,12.74µm
g_row\[0\].g_col\[0\].pe/_0452_,12.72µm
g_row\[0\].g_col\[0\].pe/_1112_,12.715µm
g_row\[0\].g_col\[0\].pe/_0106_,12.7µm
g_row\[1\].g_col\[0\].pe/_0906_,12.7µm
g_row\[0\].g_col\[1\].pe/_1254_,12.685µm
g_row\[1\].g_col\[0\].pe/net1788,12.685µm
g_row\[0\].g_col\[0\].pe/_0225_,12.68µm
g_row\[0\].g_col\[0\].pe/_0877_,12.68µm
g_row\[0\].g_col\[0\].pe/_0928_,12.68µm
g_row\[0\].g_col\[0\].pe/_0350_,12.66µm
g_row\[0\].g_col\[1\].pe/_0780_,12.66µm
g_row\[0\].g_col\[1\].pe/_0881_,12.66µm
g_row\[1\].g_col\[1\].pe/_0994_,12.66µm
net1569,12.66µm
net2757,12.66µm
g_row\[1\].g_col\[0\].pe/net3009,12.66µm
g_row\[0\].g_col\[0\].pe/_0945_,12.65µm
g_row\[0\].g_col\[0\].pe/_1330_,12.64µm
g_row\[1\].g_col\[0\].pe/_0260_,12.64µm
a_wire\[3\]\[8\],12.62µm
g_row\[0\].g_col\[1\].pe/_0443_,12.62µm
g_row\[0\].g_col\[1\].pe/_1106_,12.62µm
g_row\[1\].g_col\[0\].pe/_0412_,12.62µm
g_row\[0\].g_col\[1\].pe/net1849,12.62µm
g_row\[0\].g_col\[0\].pe/net2877,12.62µm
g_row\[0\].g_col\[0\].pe/_1259_,12.6µm
g_row\[1\].g_col\[0\].pe/_1055_,12.6µm
net1315,12.58µm
g_row\[0\].g_col\[1\].pe/_0720_,12.58µm
g_row\[1\].g_col\[0\].pe/_0651_,12.58µm
net1579,12.58µm
net3342,12.58µm
net3547,12.58µm
g_row\[1\].g_col\[0\].pe/_1256_,12.56µm
g_row\[1\].g_col\[1\].pe/_0144_,12.56µm
g_row\[0\].g_col\[0\].pe/_0890_,12.54µm
g_row\[0\].g_col\[1\].pe/_0684_,12.54µm
g_row\[0\].g_col\[1\].pe/_1025_,12.54µm
g_row\[1\].g_col\[0\].pe/_0884_,12.54µm
g_row\[0\].g_col\[1\].pe/_0992_,12.52µm
g_row\[0\].g_col\[1\].pe/_0773_,12.51µm
g_row\[1\].g_col\[0\].pe/net2052,12.505µm
g_row\[0\].g_col\[0\].pe/_0066_,12.5µm
g_row\[0\].g_col\[1\].pe/_1071_,12.5µm
g_row\[1\].g_col\[0\].pe/_0268_,12.5µm
g_row\[1\].g_col\[0\].pe/_0349_,12.5µm
g_row\[1\].g_col\[0\].pe/_1329_,12.5µm
g_row\[1\].g_col\[1\].pe/_1064_,12.5µm
g_row\[1\].g_col\[0\].pe/net2947,12.5µm
g_row\[0\].g_col\[1\].pe/_0945_,12.48µm
net3575,12.48µm
g_row\[1\].g_col\[1\].pe/_1248_,12.475µm
g_row\[0\].g_col\[0\].pe/_1299_,12.46µm
g_row\[0\].g_col\[1\].pe/_0054_,12.46µm
g_row\[0\].g_col\[1\].pe/_0278_,12.45µm
g_row\[0\].g_col\[1\].pe/_0364_,12.44µm
g_row\[0\].g_col\[1\].pe/_1224_,12.44µm
g_row\[1\].g_col\[1\].pe/_0122_,12.44µm
g_row\[0\].g_col\[0\].pe/_0907_,12.425µm
g_row\[0\].g_col\[1\].pe/_1009_,12.42µm
g_row\[1\].g_col\[0\].pe/_1268_,12.42µm
g_row\[1\].g_col\[0\].pe/_1320_,12.42µm
g_row\[0\].g_col\[1\].pe/net2208,12.42µm
g_row\[1\].g_col\[1\].pe/_0923_,12.41µm
g_row\[1\].g_col\[1\].pe/_1180_,12.4µm
g_row\[0\].g_col\[0\].pe/_0959_,12.39µm
net1299,12.38µm
g_row\[0\].g_col\[0\].pe/_0367_,12.38µm
g_row\[0\].g_col\[0\].pe/_0983_,12.38µm
g_row\[0\].g_col\[0\].pe/_0991_,12.38µm
g_row\[0\].g_col\[0\].pe/_1077_,12.38µm
g_row\[0\].g_col\[1\].pe/_0847_,12.38µm
g_row\[1\].g_col\[0\].pe/_0006_,12.38µm
g_row\[1\].g_col\[0\].pe/_1134_,12.38µm
g_row\[1\].g_col\[1\].pe/_0549_,12.38µm
g_row\[1\].g_col\[1\].pe/_1090_,12.38µm
g_row\[0\].g_col\[0\].pe/net2109,12.38µm
g_row\[1\].g_col\[1\].pe/_0455_,12.36µm
g_row\[0\].g_col\[0\].pe/_0122_,12.35µm
g_row\[0\].g_col\[0\].pe/_0924_,12.34µm
g_row\[1\].g_col\[0\].pe/_1163_,12.34µm
g_row\[1\].g_col\[1\].pe/_0465_,12.34µm
g_row\[1\].g_col\[1\].pe/net1982,12.34µm
g_row\[1\].g_col\[0\].pe/_1323_,12.32µm
g_row\[1\].g_col\[1\].pe/_1185_,12.32µm
g_row\[0\].g_col\[1\].pe/net2385,12.32µm
g_row\[1\].g_col\[0\].pe/_0843_,12.31µm
g_row\[0\].g_col\[0\].pe/_0010_,12.3µm
g_row\[0\].g_col\[0\].pe/_0090_,12.3µm
g_row\[0\].g_col\[1\].pe/_0925_,12.3µm
g_row\[1\].g_col\[0\].pe/_0586_,12.3µm
g_row\[1\].g_col\[1\].pe/_1137_,12.3µm
net1902,12.3µm
g_row\[0\].g_col\[0\].pe/_0420_,12.28µm
g_row\[1\].g_col\[0\].pe/_0425_,12.28µm
g_row\[1\].g_col\[0\].pe/net2278,12.28µm
g_row\[1\].g_col\[1\].pe/net3074,12.28µm
g_row\[1\].g_col\[0\].pe/_0745_,12.26µm
g_row\[1\].g_col\[1\].pe/_0331_,12.26µm
g_row\[1\].g_col\[1\].pe/net2827,12.26µm
b_wire\[3\]\[7\],12.24µm
g_row\[0\].g_col\[1\].pe/_0643_,12.22µm
g_row\[1\].g_col\[0\].pe/_0109_,12.22µm
g_row\[0\].g_col\[1\].pe/_0661_,12.21µm
g_row\[0\].g_col\[0\].pe/_0769_,12.2µm
g_row\[1\].g_col\[1\].pe/_0936_,12.2µm
net1421,12.18µm
g_row\[0\].g_col\[1\].pe/_0732_,12.18µm
g_row\[0\].g_col\[1\].pe/_1090_,12.18µm
g_row\[1\].g_col\[1\].pe/_0266_,12.18µm
g_row\[1\].g_col\[1\].pe/_0322_,12.18µm
net1453,12.18µm
g_row\[0\].g_col\[0\].pe/net2226,12.165µm
net1351,12.16µm
g_row\[0\].g_col\[0\].pe/_1032_,12.16µm
g_row\[0\].g_col\[1\].pe/_0292_,12.16µm
g_row\[1\].g_col\[0\].pe/_0240_,12.16µm
g_row\[1\].g_col\[1\].pe/_0397_,12.16µm
net1620,12.16µm
g_row\[1\].g_col\[0\].pe/net1839,12.16µm
g_row\[1\].g_col\[0\].pe/net2277,12.16µm
g_row\[1\].g_col\[1\].pe/_0278_,12.15µm
g_row\[1\].g_col\[0\].pe/_0535_,12.145µm
g_row\[0\].g_col\[0\].pe/_0852_,12.14µm
g_row\[0\].g_col\[1\].pe/_0919_,12.14µm
g_row\[0\].g_col\[1\].pe/_1226_,12.125µm
g_row\[0\].g_col\[0\].pe/_0970_,12.12µm
g_row\[0\].g_col\[1\].pe/_0308_,12.12µm
g_row\[1\].g_col\[0\].pe/net2913,12.12µm
g_row\[0\].g_col\[0\].pe/net2962,12.12µm
g_row\[1\].g_col\[0\].pe/_0147_,12.11µm
g_row\[0\].g_col\[1\].pe/_0985_,12.1µm
g_row\[0\].g_col\[0\].pe/_1235_,12.08µm
g_row\[1\].g_col\[0\].pe/_0926_,12.08µm
g_row\[1\].g_col\[1\].pe/_0589_,12.08µm
g_row\[0\].g_col\[1\].pe/_0742_,12.07µm
g_row\[0\].g_col\[1\].pe/_0556_,12.06µm
g_row\[1\].g_col\[0\].pe/_0919_,12.06µm
g_row\[1\].g_col\[1\].pe/_1200_,12.06µm
g_row\[0\].g_col\[1\].pe/_1247_,12.04µm
g_row\[1\].g_col\[1\].pe/_0382_,12.04µm
g_row\[1\].g_col\[1\].pe/_0524_,12.035µm
g_row\[0\].g_col\[1\].pe/_1279_,12.03µm
g_row\[0\].g_col\[0\].pe/_1048_,12.02µm
net1415,12µm
g_row\[0\].g_col\[0\].pe/_1141_,12µm
g_row\[1\].g_col\[0\].pe/_0356_,12µm
g_row\[1\].g_col\[0\].pe/_0397_,12µm
g_row\[1\].g_col\[1\].pe/_0429_,12µm
g_row\[1\].g_col\[1\].pe/_0623_,12µm
net3354,12µm
g_row\[0\].g_col\[0\].pe/_0558_,11.96µm
g_row\[0\].g_col\[1\].pe/_0786_,11.96µm
g_row\[0\].g_col\[0\].pe/net2158,11.96µm
net2511,11.96µm
g_row\[0\].g_col\[1\].pe/net3108,11.96µm
net3166,11.96µm
g_row\[0\].g_col\[1\].pe/_0200_,11.94µm
g_row\[1\].g_col\[1\].pe/_1026_,11.94µm
g_row\[1\].g_col\[1\].pe/net1950,11.94µm
net1356,11.92µm
g_row\[0\].g_col\[0\].pe/_0650_,11.92µm
g_row\[0\].g_col\[0\].pe/_0898_,11.92µm
g_row\[0\].g_col\[1\].pe/_1331_,11.92µm
g_row\[1\].g_col\[0\].pe/_0395_,11.92µm
g_row\[1\].g_col\[0\].pe/_1077_,11.92µm
g_row\[1\].g_col\[1\].pe/_0020_,11.92µm
net1512,11.92µm
g_row\[0\].g_col\[1\].pe/_1314_,11.9µm
g_row\[1\].g_col\[1\].pe/_0441_,11.9µm
g_row\[0\].g_col\[0\].pe/_1190_,11.88µm
g_row\[1\].g_col\[0\].pe/_0483_,11.88µm
g_row\[1\].g_col\[0\].pe/_1081_,11.88µm
g_row\[0\].g_col\[0\].pe/_0734_,11.86µm
g_row\[0\].g_col\[1\].pe/_0142_,11.86µm
g_row\[0\].g_col\[1\].pe/_0226_,11.86µm
net3284,11.86µm
g_row\[1\].g_col\[0\].pe/_1171_,11.85µm
g_row\[1\].g_col\[0\].pe/r3_prod_mant\[5\],11.85µm
g_row\[0\].g_col\[0\].pe/_0069_,11.84µm
g_row\[0\].g_col\[1\].pe/_0841_,11.84µm
g_row\[1\].g_col\[1\].pe/_0731_,11.84µm
net2420,11.84µm
g_row\[0\].g_col\[0\].pe/net2282,11.825µm
g_row\[0\].g_col\[0\].pe/_1121_,11.82µm
g_row\[0\].g_col\[1\].pe/_0704_,11.82µm
g_row\[0\].g_col\[0\].pe/_1154_,11.81µm
g_row\[0\].g_col\[0\].pe/_0759_,11.8µm
g_row\[1\].g_col\[0\].pe/_1303_,11.8µm
g_row\[1\].g_col\[1\].pe/_0424_,11.8µm
g_row\[0\].g_col\[0\].pe/_0197_,11.78µm
g_row\[0\].g_col\[1\].pe/_0225_,11.78µm
g_row\[0\].g_col\[1\].pe/_0651_,11.78µm
g_row\[0\].g_col\[1\].pe/_1063_,11.78µm
g_row\[1\].g_col\[0\].pe/_0617_,11.78µm
g_row\[1\].g_col\[1\].pe/_0070_,11.78µm
g_row\[0\].g_col\[0\].pe/_0351_,11.76µm
g_row\[0\].g_col\[1\].pe/_0665_,11.76µm
g_row\[0\].g_col\[1\].pe/_1180_,11.76µm
g_row\[1\].g_col\[1\].pe/_0299_,11.76µm
g_row\[1\].g_col\[1\].pe/_1208_,11.76µm
g_row\[1\].g_col\[0\].pe/_0158_,11.75µm
g_row\[0\].g_col\[0\].pe/_0175_,11.74µm
g_row\[0\].g_col\[0\].pe/_0927_,11.735µm
g_row\[1\].g_col\[0\].pe/_0451_,11.73µm
g_row\[0\].g_col\[1\].pe/_0455_,11.72µm
g_row\[1\].g_col\[0\].pe/_0949_,11.72µm
g_row\[0\].g_col\[0\].pe/_0270_,11.7µm
g_row\[1\].g_col\[1\].pe/net1704,11.7µm
g_row\[1\].g_col\[1\].pe/net2205,11.7µm
g_row\[0\].g_col\[0\].pe/_0327_,11.69µm
g_row\[0\].g_col\[0\].pe/_0290_,11.68µm
g_row\[0\].g_col\[0\].pe/_0316_,11.68µm
g_row\[0\].g_col\[0\].pe/_0427_,11.68µm
g_row\[0\].g_col\[0\].pe/_0449_,11.68µm
g_row\[0\].g_col\[1\].pe/_1249_,11.68µm
net3526,11.68µm
g_row\[0\].g_col\[0\].pe/net2254,11.675µm
g_row\[0\].g_col\[0\].pe/_1175_,11.66µm
net2624,11.66µm
g_row\[0\].g_col\[0\].pe/_1007_,11.65µm
g_row\[0\].g_col\[0\].pe/_1127_,11.65µm
g_row\[1\].g_col\[0\].pe/_0085_,11.64µm
g_row\[1\].g_col\[0\].pe/_1030_,11.64µm
g_row\[1\].g_col\[1\].pe/_0375_,11.64µm
g_row\[1\].g_col\[1\].pe/_0400_,11.64µm
g_row\[1\].g_col\[0\].pe/_1112_,11.63µm
g_row\[1\].g_col\[1\].pe/_0057_,11.625µm
g_row\[0\].g_col\[1\].pe/_0627_,11.62µm
g_row\[1\].g_col\[0\].pe/net1920,11.62µm
g_row\[1\].g_col\[0\].pe/net3097,11.62µm
g_row\[1\].g_col\[0\].pe/_0814_,11.6µm
g_row\[1\].g_col\[1\].pe/_0522_,11.6µm
g_row\[1\].g_col\[1\].pe/net1782,11.595µm
g_row\[0\].g_col\[1\].pe/_0103_,11.58µm
g_row\[0\].g_col\[1\].pe/_0854_,11.58µm
g_row\[1\].g_col\[0\].pe/_0465_,11.58µm
g_row\[1\].g_col\[0\].pe/_1200_,11.58µm
g_row\[1\].g_col\[0\].pe/_1204_,11.58µm
g_row\[1\].g_col\[1\].pe/_0749_,11.58µm
g_row\[0\].g_col\[0\].pe/_0012_,11.54µm
g_row\[1\].g_col\[0\].pe/_1193_,11.54µm
g_row\[1\].g_col\[0\].pe/net1891,11.54µm
g_row\[1\].g_col\[1\].pe/net1939,11.54µm
g_row\[0\].g_col\[0\].pe/_0250_,11.53µm
g_row\[0\].g_col\[1\].pe/_0318_,11.52µm
g_row\[0\].g_col\[1\].pe/_1154_,11.51µm
g_row\[0\].g_col\[1\].pe/_0316_,11.5µm
g_row\[0\].g_col\[1\].pe/_0885_,11.5µm
g_row\[1\].g_col\[0\].pe/_0958_,11.5µm
g_row\[1\].g_col\[0\].pe/_0998_,11.5µm
g_row\[1\].g_col\[1\].pe/_0969_,11.5µm
g_row\[0\].g_col\[1\].pe/net2341,11.5µm
g_row\[1\].g_col\[0\].pe/net2891,11.5µm
a_reg\[26\],11.48µm
net1366,11.46µm
net1383,11.46µm
g_row\[0\].g_col\[0\].pe/_0834_,11.46µm
g_row\[0\].g_col\[0\].pe/_1188_,11.46µm
g_row\[1\].g_col\[0\].pe/_0484_,11.46µm
g_row\[0\].g_col\[0\].pe/net2297,11.46µm
g_row\[0\].g_col\[1\].pe/_1209_,11.44µm
g_row\[0\].g_col\[0\].pe/_1229_,11.42µm
g_row\[1\].g_col\[1\].pe/_0774_,11.42µm
g_row\[1\].g_col\[1\].pe/_1225_,11.42µm
net3147,11.42µm
g_row\[0\].g_col\[0\].pe/_0375_,11.39µm
net1357,11.38µm
g_row\[0\].g_col\[1\].pe/_0554_,11.38µm
g_row\[1\].g_col\[0\].pe/_0289_,11.38µm
g_row\[1\].g_col\[1\].pe/_0108_,11.38µm
g_row\[1\].g_col\[1\].pe/_1190_,11.38µm
g_row\[0\].g_col\[0\].pe/_1068_,11.36µm
g_row\[0\].g_col\[1\].pe/_1077_,11.36µm
g_row\[1\].g_col\[0\].pe/_0067_,11.36µm
g_row\[1\].g_col\[1\].pe/_0498_,11.36µm
g_row\[1\].g_col\[1\].pe/net1650,11.36µm
g_row\[0\].g_col\[1\].pe/net2218,11.36µm
g_row\[0\].g_col\[0\].pe/_0390_,11.34µm
g_row\[0\].g_col\[0\].pe/_0900_,11.34µm
g_row\[1\].g_col\[0\].pe/_0625_,11.34µm
g_row\[0\].g_col\[1\].pe/_1262_,11.32µm
g_row\[1\].g_col\[1\].pe/net3095,11.32µm
g_row\[0\].g_col\[1\].pe/_1133_,11.31µm
g_row\[0\].g_col\[0\].pe/_0564_,11.3µm
g_row\[0\].g_col\[1\].pe/_0923_,11.3µm
g_row\[1\].g_col\[0\].pe/_0318_,11.3µm
g_row\[1\].g_col\[1\].pe/r3_prod_mant\[1\],11.3µm
g_row\[0\].g_col\[1\].pe/_0189_,11.28µm
g_row\[0\].g_col\[1\].pe/_0865_,11.28µm
g_row\[0\].g_col\[1\].pe/_1067_,11.28µm
g_row\[1\].g_col\[0\].pe/_1142_,11.28µm
g_row\[1\].g_col\[1\].pe/_0740_,11.28µm
net1467,11.28µm
net1606,11.28µm
g_row\[0\].g_col\[0\].pe/_0864_,11.275µm
g_row\[0\].g_col\[0\].pe/_1163_,11.26µm
g_row\[0\].g_col\[1\].pe/_0988_,11.26µm
g_row\[0\].g_col\[1\].pe/_1129_,11.26µm
g_row\[0\].g_col\[0\].pe/_0422_,11.24µm
g_row\[1\].g_col\[1\].pe/_1234_,11.24µm
g_row\[1\].g_col\[1\].pe/r2_mantissa\[1\],11.24µm
net1532,11.24µm
g_row\[0\].g_col\[0\].pe/net1909,11.24µm
g_row\[1\].g_col\[1\].pe/net2978,11.24µm
g_row\[1\].g_col\[1\].pe/_0701_,11.23µm
g_row\[0\].g_col\[0\].pe/_1172_,11.2µm
g_row\[0\].g_col\[1\].pe/_0233_,11.2µm
g_row\[0\].g_col\[1\].pe/_0740_,11.2µm
g_row\[1\].g_col\[0\].pe/_0198_,11.2µm
g_row\[1\].g_col\[0\].pe/_0597_,11.2µm
g_row\[1\].g_col\[1\].pe/_0127_,11.2µm
g_row\[1\].g_col\[1\].pe/_1038_,11.2µm
g_row\[0\].g_col\[1\].pe/_1283_,11.18µm
g_row\[1\].g_col\[0\].pe/_0631_,11.18µm
g_row\[1\].g_col\[0\].pe/_0738_,11.18µm
g_row\[1\].g_col\[1\].pe/_0854_,11.18µm
g_row\[0\].g_col\[1\].pe/net1844,11.18µm
g_row\[0\].g_col\[1\].pe/_0151_,11.16µm
clknet_leaf_98_clk,11.16µm
g_row\[1\].g_col\[1\].pe/net1778,11.16µm
g_row\[0\].g_col\[0\].pe/_1122_,11.155µm
g_row\[0\].g_col\[0\].pe/_0561_,11.14µm
g_row\[1\].g_col\[1\].pe/_0916_,11.14µm
g_row\[1\].g_col\[1\].pe/net1815,11.14µm
g_row\[1\].g_col\[1\].pe/_0289_,11.13µm
g_row\[0\].g_col\[1\].pe/_0887_,11.125µm
g_row\[1\].g_col\[1\].pe/net1967,11.125µm
g_row\[0\].g_col\[0\].pe/_1207_,11.12µm
g_row\[1\].g_col\[0\].pe/_1056_,11.12µm
g_row\[1\].g_col\[0\].pe/_1173_,11.12µm
g_row\[1\].g_col\[1\].pe/_0181_,11.12µm
g_row\[0\].g_col\[0\].pe/net2124,11.12µm
net3469,11.12µm
g_row\[0\].g_col\[0\].pe/_0179_,11.115µm
g_row\[0\].g_col\[1\].pe/_0933_,11.11µm
g_row\[0\].g_col\[0\].pe/_0305_,11.1µm
g_row\[1\].g_col\[0\].pe/_0374_,11.1µm
g_row\[0\].g_col\[0\].pe/net2302,11.095µm
g_row\[0\].g_col\[0\].pe/_0642_,11.08µm
g_row\[0\].g_col\[1\].pe/_0284_,11.08µm
g_row\[1\].g_col\[0\].pe/_0834_,11.08µm
g_row\[1\].g_col\[0\].pe/net2051,11.08µm
g_row\[0\].g_col\[1\].pe/net2331,11.08µm
net2621,11.08µm
g_row\[1\].g_col\[0\].pe/_0850_,11.07µm
g_row\[0\].g_col\[0\].pe/_0089_,11.06µm
g_row\[0\].g_col\[0\].pe/_1295_,11.06µm
g_row\[0\].g_col\[1\].pe/_1327_,11.06µm
g_row\[1\].g_col\[0\].pe/_0089_,11.06µm
g_row\[1\].g_col\[0\].pe/_0931_,11.06µm
g_row\[1\].g_col\[1\].pe/_0841_,11.06µm
g_row\[1\].g_col\[1\].pe/_0855_,11.05µm
g_row\[1\].g_col\[0\].pe/net1764,11.045µm
g_row\[0\].g_col\[0\].pe/_0374_,11.04µm
g_row\[0\].g_col\[0\].pe/_0433_,11.04µm
g_row\[0\].g_col\[0\].pe/_0456_,11.04µm
g_row\[0\].g_col\[0\].pe/_0230_,11.02µm
g_row\[0\].g_col\[0\].pe/_0652_,11.02µm
g_row\[0\].g_col\[1\].pe/_0814_,11µm
g_row\[0\].g_col\[1\].pe/_1008_,11µm
g_row\[0\].g_col\[1\].pe/_1086_,11µm
g_row\[1\].g_col\[0\].pe/net1921,11µm
g_row\[1\].g_col\[1\].pe/_1008_,10.98µm
net3296,10.98µm
g_row\[0\].g_col\[0\].pe/_0482_,10.965µm
g_row\[0\].g_col\[0\].pe/_0726_,10.96µm
g_row\[0\].g_col\[0\].pe/_0969_,10.96µm
g_row\[0\].g_col\[0\].pe/_1075_,10.96µm
g_row\[0\].g_col\[1\].pe/_0603_,10.96µm
g_row\[0\].g_col\[1\].pe/_0878_,10.96µm
g_row\[1\].g_col\[0\].pe/_0416_,10.96µm
g_row\[1\].g_col\[1\].pe/_1081_,10.96µm
g_row\[1\].g_col\[0\].pe/_0115_,10.94µm
g_row\[1\].g_col\[0\].pe/_1144_,10.94µm
g_row\[0\].g_col\[0\].pe/_0223_,10.92µm
g_row\[0\].g_col\[0\].pe/_0716_,10.92µm
g_row\[0\].g_col\[0\].pe/_1245_,10.92µm
g_row\[0\].g_col\[1\].pe/_0810_,10.92µm
g_row\[1\].g_col\[0\].pe/_0941_,10.92µm
g_row\[1\].g_col\[1\].pe/_0304_,10.92µm
net3487,10.92µm
g_row\[1\].g_col\[0\].pe/_0511_,10.9µm
g_row\[1\].g_col\[1\].pe/_0759_,10.9µm
net3025,10.9µm
g_row\[0\].g_col\[0\].pe/_1138_,10.88µm
g_row\[0\].g_col\[1\].pe/_0397_,10.88µm
g_row\[0\].g_col\[1\].pe/_0441_,10.88µm
g_row\[1\].g_col\[0\].pe/_0452_,10.88µm
g_row\[1\].g_col\[0\].pe/_1082_,10.88µm
g_row\[1\].g_col\[1\].pe/_0370_,10.88µm
g_row\[1\].g_col\[1\].pe/_0437_,10.88µm
g_row\[1\].g_col\[1\].pe/net1960,10.875µm
g_row\[0\].g_col\[0\].pe/_0603_,10.86µm
g_row\[0\].g_col\[1\].pe/_0517_,10.86µm
