Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_174_350,VGND,li1,166.7500,484.1600,0.000167
FILLER_174_347,VGND,li1,165.8300,484.1600,0.000167
FILLER_174_344,VGND,li1,164.4500,484.1600,0.000171
FILLER_174_341,VGND,li1,163.0700,484.1600,0.000174
FILLER_174_335,VGND,li1,159.8500,484.1600,0.000177
FILLER_174_322,VGND,li1,154.1000,484.1600,0.000185
FILLER_174_319,VGND,li1,152.9500,484.1600,0.000185
FILLER_174_316,VGND,li1,151.5700,484.1600,0.000186
FILLER_174_313,VGND,li1,150.1900,484.1600,0.000188
FILLER_174_297,VGND,li1,142.8300,484.1600,0.000190
FILLER_174_294,VGND,li1,141.4500,484.1600,0.000191
FILLER_174_291,VGND,li1,140.0700,484.1600,0.000192
FILLER_174_288,VGND,li1,138.6900,484.1600,0.000192
FILLER_174_281,VGND,li1,135.0100,484.1600,0.000193
FILLER_174_277,VGND,li1,133.6300,484.1600,0.000193
FILLER_174_274,VGND,li1,132.2500,484.1600,0.000193
FILLER_174_271,VGND,li1,130.8700,484.1600,0.000194
FILLER_174_268,VGND,li1,129.4900,484.1600,0.000194
FILLER_174_265,VGND,li1,128.1100,484.1600,0.000194
FILLER_174_262,VGND,li1,126.7300,484.1600,0.000194
FILLER_174_256,VGND,li1,123.5100,484.1600,0.000193
FILLER_174_253,VGND,li1,122.5900,484.1600,0.000192
FILLER_174_249,VGND,li1,120.7500,484.1600,0.000191
FILLER_174_246,VGND,li1,119.3700,484.1600,0.000191
FILLER_174_243,VGND,li1,117.9900,484.1600,0.000189
FILLER_174_240,VGND,li1,116.6100,484.1600,0.000189
FILLER_174_237,VGND,li1,115.2300,484.1600,0.000187
FILLER_174_234,VGND,li1,113.8500,484.1600,0.000187
FILLER_174_231,VGND,li1,112.4700,484.1600,0.000185
FILLER_174_228,VGND,li1,111.0900,484.1600,0.000185
FILLER_174_225,VGND,li1,109.7100,484.1600,0.000184
FILLER_174_222,VGND,li1,108.1000,484.1600,0.000183
FILLER_174_219,VGND,li1,106.9500,484.1600,0.000183
FILLER_174_213,VGND,li1,103.9600,484.1600,0.000179
FILLER_174_206,VGND,li1,100.7400,484.1600,0.000177
FILLER_174_203,VGND,li1,99.5900,484.1600,0.000177
FILLER_174_197,VGND,li1,96.6000,484.1600,0.000174
FILLER_174_191,VGND,li1,93.6100,484.1600,0.000169
FILLER_174_173,VGND,li1,85.3300,484.1600,0.000160
FILLER_174_156,VGND,li1,77.7400,484.1600,0.000147
FILLER_174_153,VGND,li1,76.5900,484.1600,0.000147
FILLER_174_150,VGND,li1,75.2100,484.1600,0.000145
FILLER_174_147,VGND,li1,73.8300,484.1600,0.000141
FILLER_174_144,VGND,li1,72.4500,484.1600,0.000141
FILLER_174_141,VGND,li1,71.0700,484.1600,0.000138
FILLER_174_122,VGND,li1,62.1000,484.1600,0.000124
FILLER_174_119,VGND,li1,60.9500,484.1600,0.000124
FILLER_174_116,VGND,li1,59.5700,484.1600,0.000119
FILLER_174_113,VGND,li1,58.1900,484.1600,0.000119
FILLER_174_109,VGND,li1,56.3500,484.1600,0.000116
FILLER_174_106,VGND,li1,54.9700,484.1600,0.000111
FILLER_174_103,VGND,li1,53.5900,484.1600,0.000111
FILLER_174_100,VGND,li1,52.2100,484.1600,0.000106
FILLER_174_97,VGND,li1,50.8300,484.1600,0.000106
FILLER_174_94,VGND,li1,49.4500,484.1600,0.000102
FILLER_174_91,VGND,li1,48.0700,484.1600,0.000099
FILLER_174_88,VGND,li1,46.6900,484.1600,0.000099
FILLER_174_85,VGND,li1,45.3100,484.1600,0.000094
FILLER_174_53,VGND,li1,30.5900,484.1600,0.000064
FILLER_174_50,VGND,li1,29.2100,484.1600,0.000060
FILLER_174_47,VGND,li1,27.8300,484.1600,0.000060
FILLER_174_44,VGND,li1,26.4500,484.1600,0.000055
FILLER_174_41,VGND,li1,25.0700,484.1600,0.000051
FILLER_174_38,VGND,li1,23.6900,484.1600,0.000051
FILLER_174_35,VGND,li1,22.3100,484.1600,0.000051
FILLER_174_32,VGND,li1,20.9300,484.1600,0.000051
FILLER_174_29,VGND,li1,19.5500,484.1600,0.000051
FILLER_174_27,VGND,li1,18.1700,484.1600,0.000051
FILLER_174_24,VGND,li1,17.2500,484.1600,0.000051
FILLER_174_21,VGND,li1,15.8700,484.1600,0.000051
FILLER_174_18,VGND,li1,14.4900,484.1600,0.000051
FILLER_174_15,VGND,li1,13.1100,484.1600,0.000051
FILLER_174_12,VGND,li1,11.7300,484.1600,0.000051
FILLER_174_9,VGND,li1,10.3500,484.1600,0.000051
FILLER_174_6,VGND,li1,8.9700,484.1600,0.000051
FILLER_174_3,VGND,li1,7.5900,484.1600,0.000051
FILLER_173_2021,VGND,li1,935.4100,484.1600,0.000159
FILLER_173_2006,VGND,li1,928.5100,484.1600,0.000179
FILLER_173_1961,VGND,li1,908.2700,484.1600,0.000232
FILLER_173_1909,VGND,li1,884.1200,484.1600,0.000272
FILLER_173_1896,VGND,li1,878.1400,484.1600,0.000278
FILLER_173_1865,VGND,li1,863.8800,484.1600,0.000281
FILLER_173_1847,VGND,li1,855.3700,484.1600,0.000278
FILLER_173_1833,VGND,li1,848.9300,484.1600,0.000273
FILLER_173_1830,VGND,li1,848.0100,484.1600,0.000273
FILLER_173_1817,VGND,li1,841.5700,484.1600,0.000267
FILLER_173_1813,VGND,li1,839.7300,484.1600,0.000266
FILLER_173_1810,VGND,li1,838.8100,484.1600,0.000266
FILLER_173_1791,VGND,li1,829.6100,484.1600,0.000255
FILLER_173_1773,VGND,li1,821.3300,484.1600,0.000243
FILLER_173_1765,VGND,li1,817.6500,484.1600,0.000238
FILLER_173_1711,VGND,li1,793.2700,484.1600,0.000176
FILLER_173_1689,VGND,li1,782.6900,484.1600,0.000219
FILLER_173_1679,VGND,li1,778.0900,484.1600,0.000229
FILLER_173_1641,VGND,li1,761.0700,484.1600,0.000270
FILLER_173_1601,VGND,li1,742.6700,484.1600,0.000294
FILLER_173_1569,VGND,li1,727.4900,484.1600,0.000304
FILLER_173_1555,VGND,li1,721.0500,484.1600,0.000306
FILLER_173_1505,VGND,li1,698.0500,484.1600,0.000295
FILLER_173_1473,VGND,li1,683.3300,484.1600,0.000268
FILLER_173_1461,VGND,li1,678.0400,484.1600,0.000252
FILLER_173_1455,VGND,li1,675.0500,484.1600,0.000248
FILLER_173_1441,VGND,li1,668.8400,484.1600,0.000229
FILLER_173_1426,VGND,li1,662.1700,484.1600,0.000211
FILLER_173_1401,VGND,li1,650.6700,484.1600,0.000183
FILLER_173_1376,VGND,li1,639.1700,484.1600,0.000149
FILLER_173_1286,VGND,li1,597.5400,484.1600,0.000222
FILLER_173_1259,VGND,li1,585.1200,484.1600,0.000236
FILLER_173_1248,VGND,li1,579.8300,484.1600,0.000240
FILLER_173_1242,VGND,li1,577.0700,484.1600,0.000242
FILLER_173_1239,VGND,li1,576.1500,484.1600,0.000242
FILLER_173_1236,VGND,li1,574.7700,484.1600,0.000244
FILLER_173_1233,VGND,li1,573.3900,484.1600,0.000244
FILLER_173_1231,VGND,li1,572.0100,484.1600,0.000245
FILLER_173_1228,VGND,li1,571.0900,484.1600,0.000245
FILLER_173_1209,VGND,li1,562.1200,484.1600,0.000249
FILLER_173_1202,VGND,li1,558.9000,484.1600,0.000250
FILLER_173_1177,VGND,li1,547.6300,484.1600,0.000250
FILLER_173_1175,VGND,li1,546.2500,484.1600,0.000250
FILLER_173_1172,VGND,li1,545.3300,484.1600,0.000250
FILLER_173_1154,VGND,li1,536.5900,484.1600,0.000248
FILLER_173_1131,VGND,li1,526.4700,484.1600,0.000238
FILLER_173_1121,VGND,li1,521.6400,484.1600,0.000227
FILLER_173_1117,VGND,li1,520.0300,484.1600,0.000224
FILLER_173_1106,VGND,li1,514.9700,484.1600,0.000213
FILLER_173_1088,VGND,li1,506.2300,484.1600,0.000195
FILLER_173_1085,VGND,li1,505.3100,484.1600,0.000195
FILLER_173_1028,VGND,li1,478.8600,484.1600,0.000173
FILLER_173_1025,VGND,li1,477.7100,484.1600,0.000183
FILLER_173_1001,VGND,li1,466.4400,484.1600,0.000219
FILLER_173_998,VGND,li1,465.2900,484.1600,0.000226
FILLER_173_995,VGND,li1,463.9100,484.1600,0.000226
FILLER_173_992,VGND,li1,462.5300,484.1600,0.000232
FILLER_173_953,VGND,li1,444.3600,484.1600,0.000279
FILLER_173_933,VGND,li1,435.1600,484.1600,0.000295
FILLER_173_922,VGND,li1,430.3300,484.1600,0.000301
FILLER_173_919,VGND,li1,428.9500,484.1600,0.000304
FILLER_173_916,VGND,li1,427.5700,484.1600,0.000304
