Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_90_500,VPWR,li1,235.7500,258.4000,1.599642
FILLER_90_459,VPWR,li1,217.1200,258.4000,1.599665
FILLER_90_434,VPWR,li1,205.3900,258.4000,1.599683
FILLER_90_425,VPWR,li1,201.4800,258.4000,1.599692
FILLER_90_405,VPWR,li1,192.5100,258.4000,1.599711
FILLER_90_383,VPWR,li1,181.9300,258.4000,1.599734
FILLER_90_365,VPWR,li1,174.1100,258.4000,1.599751
FILLER_90_359,VPWR,li1,170.8900,258.4000,1.599714
FILLER_90_307,VPWR,li1,146.9700,258.4000,1.599568
FILLER_90_197,VPWR,li1,96.3700,258.4000,1.599496
FILLER_90_155,VPWR,li1,77.0500,258.4000,1.599545
FILLER_90_141,VPWR,li1,70.6100,258.4000,1.599570
FILLER_90_135,VPWR,li1,67.8500,258.4000,1.599580
FILLER_90_127,VPWR,li1,64.6300,258.4000,1.599587
FILLER_90_82,VPWR,li1,43.7000,258.4000,1.599695
FILLER_90_73,VPWR,li1,39.5600,258.4000,1.599724
FILLER_90_45,VPWR,li1,26.6800,258.4000,1.599801
FILLER_90_29,VPWR,li1,19.5500,258.4000,1.599834
FILLER_90_25,VPWR,li1,17.7100,258.4000,1.599833
FILLER_90_19,VPWR,li1,14.7200,258.4000,1.599833
FILLER_90_3,VPWR,li1,7.3600,258.4000,1.599832
FILLER_89_841,VPWR,li1,392.6100,252.9600,1.599523
FILLER_89_814,VPWR,li1,380.6500,252.9600,1.599528
FILLER_89_785,VPWR,li1,366.8500,252.9600,1.599545
FILLER_89_776,VPWR,li1,363.1700,252.9600,1.599551
FILLER_89_773,VPWR,li1,361.7900,252.9600,1.599557
FILLER_89_770,VPWR,li1,360.4100,252.9600,1.599557
FILLER_89_713,VPWR,li1,333.7300,252.9600,1.599674
FILLER_89_663,VPWR,li1,310.9600,252.9600,1.599616
FILLER_89_625,VPWR,li1,293.2500,252.9600,1.599547
FILLER_89_608,VPWR,li1,285.4300,252.9600,1.599525
FILLER_89_599,VPWR,li1,281.5200,252.9600,1.599514
FILLER_89_578,VPWR,li1,271.6300,252.9600,1.599499
FILLER_89_558,VPWR,li1,262.6600,252.9600,1.599491
FILLER_89_539,VPWR,li1,254.1500,252.9600,1.599486
FILLER_89_533,VPWR,li1,250.9300,252.9600,1.599485
FILLER_89_513,VPWR,li1,241.7300,252.9600,1.599491
FILLER_89_502,VPWR,li1,236.9000,252.9600,1.599496
FILLER_89_480,VPWR,li1,226.5500,252.9600,1.599516
FILLER_89_453,VPWR,li1,214.1300,252.9600,1.599553
FILLER_89_447,VPWR,li1,211.3700,252.9600,1.599562
FILLER_89_435,VPWR,li1,205.8500,252.9600,1.599582
FILLER_89_393,VPWR,li1,186.5300,252.9600,1.599661
FILLER_89_382,VPWR,li1,181.9300,252.9600,1.599679
FILLER_89_348,VPWR,li1,165.8300,252.9600,1.599639
FILLER_89_281,VPWR,li1,135.0100,252.9600,1.599465
FILLER_89_275,VPWR,li1,132.2500,252.9600,1.599460
FILLER_89_223,VPWR,li1,108.3300,252.9600,1.599449
FILLER_89_204,VPWR,li1,99.8200,252.9600,1.599458
FILLER_89_160,VPWR,li1,79.5800,252.9600,1.599512
FILLER_89_140,VPWR,li1,70.3800,252.9600,1.599547
FILLER_89_81,VPWR,li1,43.4700,252.9600,1.599688
FILLER_89_3,VPWR,li1,7.1300,252.9600,1.599824
FILLER_88_810,VPWR,li1,378.5800,252.9600,1.599531
FILLER_88_793,VPWR,li1,370.5300,252.9600,1.599542
FILLER_88_780,VPWR,li1,364.5500,252.9600,1.599551
FILLER_88_777,VPWR,li1,363.6300,252.9600,1.599551
FILLER_88_760,VPWR,li1,355.5800,252.9600,1.599569
FILLER_88_757,VPWR,li1,354.4300,252.9600,1.599574
FILLER_88_690,VPWR,li1,323.1500,252.9600,1.599684
FILLER_88_680,VPWR,li1,318.7800,252.9600,1.599659
FILLER_88_645,VPWR,li1,302.9100,252.9600,1.599579
FILLER_88_642,VPWR,li1,301.3000,252.9600,1.599572
FILLER_88_639,VPWR,li1,300.1500,252.9600,1.599572
FILLER_88_630,VPWR,li1,296.0100,252.9600,1.599556
FILLER_88_600,VPWR,li1,281.9800,252.9600,1.599514
FILLER_88_597,VPWR,li1,280.8300,252.9600,1.599514
FILLER_88_589,VPWR,li1,276.9200,252.9600,1.599504
FILLER_88_587,VPWR,li1,275.7700,252.9600,1.599504
FILLER_88_568,VPWR,li1,267.0300,252.9600,1.599495
FILLER_88_563,VPWR,li1,264.7300,252.9600,1.599492
FILLER_88_560,VPWR,li1,263.8100,252.9600,1.599492
FILLER_88_533,VPWR,li1,251.1600,252.9600,1.599485
FILLER_88_504,VPWR,li1,237.5900,252.9600,1.599496
FILLER_88_481,VPWR,li1,227.4700,252.9600,1.599516
FILLER_88_461,VPWR,li1,217.8100,252.9600,1.599538
FILLER_88_452,VPWR,li1,213.9000,252.9600,1.599553
FILLER_88_377,VPWR,li1,179.1700,252.9600,1.599698
FILLER_88_182,VPWR,li1,89.7000,252.9600,1.599480
FILLER_88_153,VPWR,li1,76.1300,252.9600,1.599528
FILLER_88_141,VPWR,li1,70.6100,252.9600,1.599547
FILLER_88_105,VPWR,li1,54.5100,252.9600,1.599623
FILLER_88_40,VPWR,li1,24.1500,252.9600,1.599810
FILLER_88_20,VPWR,li1,14.9500,252.9600,1.599826
FILLER_88_3,VPWR,li1,7.3600,252.9600,1.599824
FILLER_87_841,VPWR,li1,392.6100,247.5200,1.599591
FILLER_87_838,VPWR,li1,391.4600,247.5200,1.599591
FILLER_87_809,VPWR,li1,377.8900,247.5200,1.599595
FILLER_87_775,VPWR,li1,362.7100,247.5200,1.599608
FILLER_87_772,VPWR,li1,361.3300,247.5200,1.599613
FILLER_87_769,VPWR,li1,359.9500,247.5200,1.599613
FILLER_87_766,VPWR,li1,358.5700,247.5200,1.599618
FILLER_87_756,VPWR,li1,353.5100,247.5200,1.599632
FILLER_87_748,VPWR,li1,350.2900,247.5200,1.599637
FILLER_87_745,VPWR,li1,348.9100,247.5200,1.599644
FILLER_87_726,VPWR,li1,339.9400,247.5200,1.599681
FILLER_87_723,VPWR,li1,338.7900,247.5200,1.599681
FILLER_87_707,VPWR,li1,331.4300,247.5200,1.599719
FILLER_87_704,VPWR,li1,330.0500,247.5200,1.599733
FILLER_87_701,VPWR,li1,328.6700,247.5200,1.599723
FILLER_87_698,VPWR,li1,327.2900,247.5200,1.599723
FILLER_87_689,VPWR,li1,322.9200,247.5200,1.599694
FILLER_87_686,VPWR,li1,321.7700,247.5200,1.599694
FILLER_87_671,VPWR,li1,314.4100,247.5200,1.599662
FILLER_87_649,VPWR,li1,304.5200,247.5200,1.599628
FILLER_87_646,VPWR,li1,303.3700,247.5200,1.599620
FILLER_87_643,VPWR,li1,301.9900,247.5200,1.599620
FILLER_87_640,VPWR,li1,300.6100,247.5200,1.599611
FILLER_87_637,VPWR,li1,299.2300,247.5200,1.599611
FILLER_87_630,VPWR,li1,295.7800,247.5200,1.599600
FILLER_87_627,VPWR,li1,294.6300,247.5200,1.599592
FILLER_87_624,VPWR,li1,293.2500,247.5200,1.599592
FILLER_87_617,VPWR,li1,289.8000,247.5200,1.599577
FILLER_87_615,VPWR,li1,288.6500,247.5200,1.599577
FILLER_87_612,VPWR,li1,287.7300,247.5200,1.599572
FILLER_87_609,VPWR,li1,286.3500,247.5200,1.599572
FILLER_87_606,VPWR,li1,284.9700,247.5200,1.599566
FILLER_87_603,VPWR,li1,283.5900,247.5200,1.599561
FILLER_87_600,VPWR,li1,282.2100,247.5200,1.599561
FILLER_87_591,VPWR,li1,277.8400,247.5200,1.599547
FILLER_87_557,VPWR,li1,262.4300,247.5200,1.599524
FILLER_87_532,VPWR,li1,250.9300,247.5200,1.599514
FILLER_87_526,VPWR,li1,247.9400,247.5200,1.599511
FILLER_87_487,VPWR,li1,230.0000,247.5200,1.599515
FILLER_87_482,VPWR,li1,227.4700,247.5200,1.599517
FILLER_87_434,VPWR,li1,205.3900,247.5200,1.599563
FILLER_87_416,VPWR,li1,197.1100,247.5200,1.599592
FILLER_87_370,VPWR,li1,176.1800,247.5200,1.599680
FILLER_87_290,VPWR,li1,139.1500,247.5200,1.599519
FILLER_87_263,VPWR,li1,126.7300,247.5200,1.599506
FILLER_87_238,VPWR,li1,115.2300,247.5200,1.599505
FILLER_87_205,VPWR,li1,100.0500,247.5200,1.599521
FILLER_87_173,VPWR,li1,85.7900,247.5200,1.599556
FILLER_87_98,VPWR,li1,50.8300,247.5200,1.599687
FILLER_87_57,VPWR,li1,32.2000,247.5200,1.599785
FILLER_87_39,VPWR,li1,23.6900,247.5200,1.599832
FILLER_87_25,VPWR,li1,17.2500,247.5200,1.599852
FILLER_86_828,VPWR,li1,386.6300,247.5200,1.599591
FILLER_86_818,VPWR,li1,382.0300,247.5200,1.599592
FILLER_86_794,VPWR,li1,371.2200,247.5200,1.599598
FILLER_86_779,VPWR,li1,364.3200,247.5200,1.599608
FILLER_86_764,VPWR,li1,357.4200,247.5200,1.599618
FILLER_86_744,VPWR,li1,348.2200,247.5200,1.599644
FILLER_86_741,VPWR,li1,347.0700,247.5200,1.599653
FILLER_86_738,VPWR,li1,345.6900,247.5200,1.599653
FILLER_86_720,VPWR,li1,337.1800,247.5200,1.599697
FILLER_86_710,VPWR,li1,332.5800,247.5200,1.599719
FILLER_86_707,VPWR,li1,331.4300,247.5200,1.599719
FILLER_86_667,VPWR,li1,312.5700,247.5200,1.599652
FILLER_86_664,VPWR,li1,311.6500,247.5200,1.599652
FILLER_86_645,VPWR,li1,302.4500,247.5200,1.599620
FILLER_86_632,VPWR,li1,296.9300,247.5200,1.599600
FILLER_86_613,VPWR,li1,288.1900,247.5200,1.599577
FILLER_86_610,VPWR,li1,286.8100,247.5200,1.599572
FILLER_86_605,VPWR,li1,284.2800,247.5200,1.599566
FILLER_86_602,VPWR,li1,283.1300,247.5200,1.599561
FILLER_86_580,VPWR,li1,272.5500,247.5200,1.599537
FILLER_86_568,VPWR,li1,267.0300,247.5200,1.599529
FILLER_86_544,VPWR,li1,255.9900,247.5200,1.599519
FILLER_86_533,VPWR,li1,251.3900,247.5200,1.599514
FILLER_86_502,VPWR,li1,237.1300,247.5200,1.599509
FILLER_86_484,VPWR,li1,228.3900,247.5200,1.599515
FILLER_86_475,VPWR,li1,224.2500,247.5200,1.599520
FILLER_86_460,VPWR,li1,217.5800,247.5200,1.599531
FILLER_86_425,VPWR,li1,201.4800,247.5200,1.599577
FILLER_86_418,VPWR,li1,198.2600,247.5200,1.599583
FILLER_86_409,VPWR,li1,194.1200,247.5200,1.599604
FILLER_86_328,VPWR,li1,156.6300,247.5200,1.599580
FILLER_86_309,VPWR,li1,148.1200,247.5200,1.599543
FILLER_86_268,VPWR,li1,129.0300,247.5200,1.599507
FILLER_86_253,VPWR,li1,122.1300,247.5200,1.599504
FILLER_86_174,VPWR,li1,86.2500,247.5200,1.599550
FILLER_86_110,VPWR,li1,56.8100,247.5200,1.599658
FILLER_86_104,VPWR,li1,53.5900,247.5200,1.599674
FILLER_86_85,VPWR,li1,45.0800,247.5200,1.599717
FILLER_86_75,VPWR,li1,40.2500,247.5200,1.599742
FILLER_86_61,VPWR,li1,33.8100,247.5200,1.599785
FILLER_86_3,VPWR,li1,7.1300,247.5200,1.599851
FILLER_85_841,VPWR,li1,392.6100,242.0800,1.599511
FILLER_85_839,VPWR,li1,391.6900,242.0800,1.599511
FILLER_85_801,VPWR,li1,374.2100,242.0800,1.599532
FILLER_85_778,VPWR,li1,364.0900,242.0800,1.599558
FILLER_85_775,VPWR,li1,362.7100,242.0800,1.599567
FILLER_85_763,VPWR,li1,356.7300,242.0800,1.599584
FILLER_85_760,VPWR,li1,355.8100,242.0800,1.599584
FILLER_85_757,VPWR,li1,354.4300,242.0800,1.599593
FILLER_85_746,VPWR,li1,349.1400,242.0800,1.599613
FILLER_85_743,VPWR,li1,347.9900,242.0800,1.599613
FILLER_85_729,VPWR,li1,341.3200,242.0800,1.599643
FILLER_85_726,VPWR,li1,339.9400,242.0800,1.599653
FILLER_85_723,VPWR,li1,338.7900,242.0800,1.599653
FILLER_85_707,VPWR,li1,331.2000,242.0800,1.599687
FILLER_85_704,VPWR,li1,330.0500,242.0800,1.599699
FILLER_85_701,VPWR,li1,328.6700,242.0800,1.599699
FILLER_85_682,VPWR,li1,319.4700,242.0800,1.599628
FILLER_85_673,VPWR,li1,315.5600,242.0800,1.599597
FILLER_85_667,VPWR,li1,312.5700,242.0800,1.599582
FILLER_85_664,VPWR,li1,311.6500,242.0800,1.599569
FILLER_85_661,VPWR,li1,310.2700,242.0800,1.599569
FILLER_85_658,VPWR,li1,308.8900,242.0800,1.599555
FILLER_85_655,VPWR,li1,307.5100,242.0800,1.599546
FILLER_85_642,VPWR,li1,301.5300,242.0800,1.599518
