net,length_um
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[3\],400.685µm
_17944_,399.27µm
net1410,399.27µm
net1367,398.525µm
net1382,396.91µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[4\],396.9µm
net1387,396.835µm
net1001,395.24µm
_18410_,394.84µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[10\],393.865µm
_17971_,393.78µm
_15838_,393.37µm
net1421,393.365µm
net519,392.67µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[3\]\[4\],391.995µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[10\],391.68µm
net999,391.495µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[11\],390.41µm
net873,389.795µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[4\],388.76µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[3\]\[12\],388.285µm
net1009,388.085µm
systolic_arrays\[1\].systolic_array_inst.b_reg\[3\],387.52µm
net852,386.38µm
net837,384.72µm
net523,384.15µm
net819,384.06µm
threads\[0\].fma_instance.r3_weighted\[1\],383.79µm
_16637_,382.94µm
net557,382.93µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[4\]\[11\],382.765µm
_16648_,381.785µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[9\],381.13µm
net839,379.4µm
net1016,378.945µm
_18384_,378.13µm
_17403_,377.58µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[2\],377.23µm
net560,375.3µm
_18295_,375.02µm
net551,373.12µm
systolic_arrays\[0\].systolic_array_inst.g_row\[0\].g_col\[0\].pe.enable,371.64µm
net514,370.93µm
_16117_,370.62µm
_17400_,370.31µm
net1015,369.77µm
net1023,369.415µm
net526,368.77µm
net886,367.76µm
net552,367.02µm
systolic_arrays\[1\].systolic_array_inst.b_reg\[5\],366.9µm
net549,366.75µm
_18344_,366.53µm
_17778_,366.44µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[6\],365.58µm
net998,364.875µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[1\]\[15\],364.525µm
alu_out\[1\]\[7\],363.95µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[6\],362.88µm
_18401_,362.855µm
net548,362.24µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[1\],362.22µm
net1381,362.04µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[3\],361.935µm
net664,361.36µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[2\],361.16µm
_15874_,361.02µm
_19766_,360.595µm
_18082_,359.965µm
net1046,359.82µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[8\],359.02µm
net559,357.57µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[5\],357.44µm
net385,356.97µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[6\],356.61µm
_06973_,356.335µm
_16869_,356.115µm
net509,354.635µm
net1415,354.53µm
systolic_arrays\[1\].systolic_array_inst.g_row\[0\].g_col\[1\].pe.r2_sign,354.365µm
threads\[2\].fma_instance.sign_r2,354.11µm
_16114_,353.865µm
net1369,353.61µm
_14740_,353.215µm
net691,353.18µm
_17916_,353.13µm
_12823_,352.5µm
net903,351.9µm
systolic_arrays\[1\].systolic_array_inst.b_reg\[1\],351.66µm
net894,351.17µm
_16644_,351.06µm
_16879_,350.735µm
_19758_,350.71µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[5\],350.32µm
_01651_,348.875µm
net944,348.5µm
pipe_rd_data\[1\]\[15\],348.22µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[3\],347.93µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[7\],347.585µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[8\],346.755µm
net1033,346.645µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[2\],346.26µm
net422,346.225µm
net1025,345.225µm
_18277_,344.38µm
net68,344.35µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[5\],343.58µm
net1245,343.46µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[9\],343.455µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[4\]\[13\],343.425µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[0\]\[15\],343.42µm
_18064_,343.31µm
_00548_,343.205µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[1\],343µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[12\],342.585µm
net1047,342.565µm
net679,342.375µm
_16915_,341.39µm
_17787_,341.2µm
net508,340.49µm
net834,340.405µm
net522,340.22µm
net1044,340.11µm
net1386,339.92µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[1\]\[7\],339.265µm
_17634_,338.59µm
systolic_arrays\[1\].systolic_array_inst.b_reg\[2\],338.54µm
alu_out\[1\]\[6\],338.45µm
net608,337.96µm
_18138_,336.815µm
threads\[1\].fma_instance.sign_r1,336.805µm
net1031,336.65µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r2_sign,336.23µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[1\],336.165µm
net694,336.05µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[3\],335.86µm
_16651_,335.56µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[0\].pe.r2_mantissa\[11\],335.085µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[3\]\[6\],334.675µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[0\]\[5\],334.125µm
net840,333.99µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[6\],333.96µm
net1428,333.94µm
net1034,333.85µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[7\],332.62µm
